Country,StockCode,Description,Year,Month,Quantity
Australia,15036,ASSORTED COLOURS SILK FAN,2011,5,600.0
Australia,15056BL,EDWARDIAN PARASOL BLACK,2011,5,3.0
Australia,16161P,WRAP ENGLISH ROSE ,2011,6,400.0
Australia,16169E,WRAP 50'S  CHRISTMAS,2011,10,25.0
Australia,20665,RED RETROSPOT PURSE ,2011,3,6.0
Australia,20675,BLUE POLKADOT BOWL,2011,1,72.0
Australia,20675,BLUE POLKADOT BOWL,2011,3,144.0
Australia,20676,RED RETROSPOT BOWL,2011,1,72.0
Australia,20676,RED RETROSPOT BOWL,2011,3,144.0
Australia,20677,PINK POLKADOT BOWL,2011,1,72.0
Australia,20677,PINK POLKADOT BOWL,2011,3,144.0
Australia,20685,DOORMAT RED RETROSPOT,2010,12,4.0
Australia,20685,DOORMAT RED RETROSPOT,2011,1,20.0
Australia,20685,DOORMAT RED RETROSPOT,2011,5,20.0
Australia,20685,DOORMAT RED RETROSPOT,2011,7,6.0
Australia,20711,JUMBO BAG TOYS ,2011,10,100.0
Australia,20712,JUMBO BAG WOODLAND ANIMALS,2011,1,10.0
Australia,20712,JUMBO BAG WOODLAND ANIMALS,2011,10,20.0
Australia,20713,JUMBO BAG OWLS,2011,1,10.0
Australia,20717,STRAWBERRY SHOPPER BAG,2011,1,10.0
Australia,20725,LUNCH BAG RED RETROSPOT,2010,12,10.0
Australia,20725,LUNCH BAG RED RETROSPOT,2011,4,30.0
Australia,20725,LUNCH BAG RED RETROSPOT,2011,6,100.0
Australia,20725,LUNCH BAG RED RETROSPOT,2011,7,20.0
Australia,20725,LUNCH BAG RED RETROSPOT,2011,8,10.0
Australia,20725,LUNCH BAG RED RETROSPOT,2011,9,10.0
Australia,20725,LUNCH BAG RED RETROSPOT,2011,11,100.0
Australia,20726,LUNCH BAG WOODLAND,2011,1,20.0
Australia,20726,LUNCH BAG WOODLAND,2011,2,100.0
Australia,20726,LUNCH BAG WOODLAND,2011,4,10.0
Australia,20726,LUNCH BAG WOODLAND,2011,8,110.0
Australia,20726,LUNCH BAG WOODLAND,2011,9,30.0
